Survey_Date,End_survey_date,Site,Type,Type_description,Disease,Herm,Snails,Total
4/16/2011,4/18/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,3,13,3,100
4/16/2011,4/18/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,7,5,15,51
4/16/2011,4/18/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,0,5,38
4/16/2011,4/18/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,0,1,35
4/16/2011,4/18/2011,French B,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,2,0,18
4/16/2011,4/18/2011,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,1,4,33
4/16/2011,4/18/2011,Wild Site A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,0,0,33
4/16/2011,4/18/2011,Wild Site B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,6,0,26
4/16/2011,4/18/2011,Wild Site C,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,3,0,29
4/16/2011,4/18/2011,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,,,,
4/16/2011,4/18/2011,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,,,,
6/1/2011,6/3/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,3,3,1,130
6/1/2011,6/3/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,4,8,24
6/1/2011,6/3/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,0,3,35
6/1/2011,6/3/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,1,0,41
6/1/2011,6/3/2011,French B,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,3,4,0,13
6/1/2011,6/3/2011,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,6,2,31
6/1/2011,6/3/2011,Wild Site A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,3,0,42
6/1/2011,6/3/2011,Wild Site B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,6,0,40
6/1/2011,6/3/2011,Wild Site C,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,,,,
6/1/2011,6/3/2011,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,5,2,13
6/1/2011,6/3/2011,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,2,0,0,120
6/29/2011,7/1/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,3,1,32
6/29/2011,7/1/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,4,3,11,39
6/29/2011,7/1/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,0,2,39
6/29/2011,7/1/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,0,1,34
6/29/2011,7/1/2011,French B,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,0,0,13
6/29/2011,7/1/2011,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,3,0,36
6/29/2011,7/1/2011,Wild Site A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,2,0,38
6/29/2011,7/1/2011,Wild Site B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,2,1,0,28
6/29/2011,7/1/2011,Wild Site C,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,3,2,1,22
6/29/2011,7/1/2011,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,5,8,2,32
6/29/2011,7/1/2011,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,,,,
7/13/2011,7/15/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,14,1,2,87
7/13/2011,7/15/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,8,2,8,35
7/13/2011,7/15/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,1,1,39
7/13/2011,7/15/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,1,1,48
