Site,Replicate ,Treatment,Treatment_Description,Date_Implemented,Tissue_Loss_Progression
Aquarius,K26,control,Diseased coral branch which was unmanipulated,5/18/2011,1
Aquarius,K28,control,Diseased coral branch which was unmanipulated,5/18/2011,1
Aquarius,Y17,control,Diseased coral branch which was unmanipulated,6/22/2011,0
Aquarius,O6,control,Diseased coral branch which was unmanipulated,6/22/2011,1
Aquarius,O6,control,Diseased coral branch which was unmanipulated,6/22/2011,1
Aquarius,Y69,control,Diseased coral branch which was unmanipulated,6/22/2011,1
Aquarius,Y66,control,Diseased coral branch which was unmanipulated,6/22/2011,0
Aquarius,Y66,control,Diseased coral branch which was unmanipulated,6/22/2011,1
Aquarius,K33/34,control,Diseased coral branch which was unmanipulated,6/24/2011,1
French,K37,control,Diseased coral branch which was unmanipulated,5/17/2011,1
French,K38,control,Diseased coral branch which was unmanipulated,6/3/2011,0
French,K87,control,Diseased coral branch which was unmanipulated,7/1/2011,1
Molasses,K88,control,Diseased coral branch which was unmanipulated,7/14/2011,0
Molasses,K98,control,Diseased coral branch which was unmanipulated,8/3/2011,1
Conch Shallow,O44,control,Diseased coral branch which was unmanipulated,8/3/2011,0
French,O31,control,Diseased coral branch which was unmanipulated,9/1/2011,1
French,Y33,control,Diseased coral branch which was unmanipulated,9/1/2011,1
Aquarius,K27,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,5/18/2011,0
Aquarius,K29,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,5/18/2011,1
Aquarius,Y17,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,6/22/2011,0
Aquarius,Y69,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,6/22/2011,0
Aquarius,Y54,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,6/22/2011,0
Aquarius,K34,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,6/24/2011,0
French,K35,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,5/17/2011,0
Molasses,K88,epoxy band,Diseased coral branch which had a band of underwater epoxy placed to enclose the diseased tissue margin,7/14/2011,1
