Type,Typre_Description,Colony,Prop_dead_S1,Prop_dead_S2,Prop_dead_S3,Prop_dead_S4,Prop_dead_S5,Prop_dead_S6,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K046,0.00,0.00,0.00,0.15,0.00,0.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K156,0.00,0.05,0.01,0.05,0.50,0.65,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K157,0.10,0.35,0.30,0.10,0.25,0.80,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K158,0.05,0.15,0.15,0.05,0.10,0.05,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K159,0.90,0.85,0.80,0.95,0.90,0.90,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K160,0.75,0.75,0.60,0.50,0.60,0.90,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K161,0.45,0.40,0.50,0.40,0.70,0.90,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K162,0.00,0.00,0.00,0.00,0.70,0.50,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K163,0.00,0.00,0.00,0.00,0.45,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K164,0.00,0.00,0.00,0.00,0.00,0.50,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K165,0.40,0.50,0.30,0.40,0.25,0.60,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K166,0.50,0.50,0.35,0.40,0.35,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K168,0.00,0.00,0.00,0.00,0.00,0.30,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K169,0.15,0.10,0.05,0.00,0.00,1.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K171,0.35,0.30,0.25,0.45,0.50,0.85,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,K172,0.05,0.05,0.05,0.10,0.25,0.15,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O140,0.00,0.00,0.00,0.01,0.00,0.20,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O144,0.00,0.00,0.00,0.00,0.00,0.80,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O145,0.00,0.01,0.00,0.00,0.05,0.70,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O146,0.05,0.01,0.00,0.00,0.00,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O147,0.05,0.10,0.10,0.05,0.60,1.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O148,0.30,0.45,0.75,0.90,0.90,0.99,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O149,0.30,0.20,0.90,0.98,0.90,1.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O150,0.15,0.20,0.80,0.60,0.60,1.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O151,0.30,0.75,0.65,0.55,0.50,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O152,0.00,0.00,0.00,0.01,0.00,0.80,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O153,0.00,0.01,0.10,0.15,0.05,0.30,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O154,0.05,0.01,0.00,0.00,0.00,0.20,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O155,0.00,0.00,0.00,0.00,0.00,0.20,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O156,0.00,0.00,0.00,0.00,0.00,0.85,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O157,0.00,0.00,0.00,0.00,0.00,0.25,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O158,0.05,0.15,0.50,0.55,0.50,0.70,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O159,0.05,0.05,0.25,0.35,0.50,0.85,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O168,0.05,0.50,0.20,0.15,0.10,0.75,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O169,0.15,0.20,0.20,0.15,0.10,0.85,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O171,0.40,0.40,0.25,,,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O172,0.10,0.05,0.01,0.01,0.00,0.60,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O173,0.10,0.00,0.00,0.00,0.00,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O174,0.50,0.50,0.45,0.40,0.50,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O175,0.85,,,,,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O176,0.80,0.45,0.65,0.65,0.75,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O179,0.00,0.00,0.00,0.10,0.00,0.55,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O181,0.00,0.00,0.00,0.01,0.00,1.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O184,0.25,0.25,0.05,0.25,0.10,0.90,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O186,0.05,0.00,0.00,0.00,0.00,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O188,0.30,0.20,0.30,0.30,0.50,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O190,,,0.05,0.25,0.30,0.45,,,,,,,,,,,,,,
